churn,number_vmail_messages,total_day_calls,total_eve_minutes,total_eve_charge,total_intl_minutes,number_customer_service_calls
no,31,92,257.9,21.92,9.0,1
no,0,120,200.1,17.01,11.0,2
no,41,95,137.3,11.67,5.9,1
no,0,79,103.1,8.76,7.1,0
no,0,129,167.8,14.26,12.6,1
no,0,102,292.0,24.82,8.7,0
no,0,111,206.4,17.54,5.8,3
no,35,100,209.7,17.82,12.4,1
no,0,86,203.9,17.33,14.1,2
no,0,113,220.4,18.73,10.7,4
no,0,122,242.9,20.65,13.9,1
no,34,96,262.3,22.3,5.6,1
yes,0,80,124.4,10.57,8.1,6
no,0,108,162.0,13.77,10.1,3
no,39,137,236.7,20.12,9.9,1
no,31,78,191.3,16.26,9.1,1
no,0,111,198.5,16.87,8.0,2
yes,0,105,109.4,9.3,12.7,4
no,0,68,262.2,22.29,8.8,0
no,0,93,190.1,16.16,10.5,2
no,0,107,199.4,16.95,9.4,2
no,31,70,209.5,17.81,9.9,4
no,0,105,127.8,10.86,9.3,1
no,0,122,245.9,20.9,6.4,0
no,0,113,216.6,18.41,9.9,2
yes,0,118,192.1,16.33,10.4,0
no,0,99,153.1,13.01,6.4,0
no,0,107,128.9,10.96,11.3,1
no,0,124,189.6,16.12,12.1,1
yes,19,96,198.4,16.86,10.5,1
no,0,116,212.1,18.03,15.1,1
no,0,129,218.7,18.59,6.6,4
no,0,111,134.4,11.42,5.7,1
no,0,84,216.8,18.43,9.0,2
no,0,104,204.7,17.4,11.3,4
no,24,138,203.8,17.32,6.0,2
no,29,83,268.2,22.8,8.4,3
no,0,125,158.2,13.45,6.1,1
no,0,84,221.3,18.81,7.8,2
no,0,76,205.2,17.44,9.4,2
no,0,73,155.5,13.22,14.7,3
no,0,97,193.8,16.47,9.7,2
no,0,78,222.7,18.93,9.0,0
no,0,97,174.0,14.79,13.0,2
no,0,92,120.3,10.23,9.0,1
no,0,70,280.1,23.81,10.4,1
no,0,121,212.9,18.1,13.0,5
no,0,129,183.9,15.63,4.6,0
yes,0,87,226.1,19.22,8.2,5
no,26,91,160.5,13.64,9.9,1
no,0,87,208.5,17.72,4.4,2
no,0,112,195.1,16.58,10.5,2
no,33,100,194.0,16.49,5.2,1
no,0,93,206.4,17.54,8.3,0
no,0,112,265.8,22.59,0.0,4
yes,0,106,188.0,15.98,8.5,0
no,24,88,193.1,16.41,11.6,2
no,0,115,207.0,17.6,8.2,1
no,0,124,204.0,17.34,15.1,1
yes,0,114,211.3,17.96,13.8,2
no,0,99,210.7,17.91,2.1,0
no,0,124,168.1,14.29,9.8,1
no,0,89,196.0,16.66,10.8,0
no,0,98,192.6,16.37,12.2,0
no,42,57,203.6,17.31,11.4,2
no,0,81,194.6,16.54,8.4,2
yes,0,139,241.9,20.56,4.2,4
no,21,113,260.1,22.11,8.2,2
yes,0,102,268.3,22.81,11.6,1
no,0,84,189.6,16.12,16.4,2
no,28,94,141.5,12.03,6.4,2
no,0,130,217.1,18.45,12.5,0
no,0,76,161.0,13.69,9.0,0
yes,0,77,131.8,11.2,9.4,6
no,0,105,207.2,17.61,5.6,1
no,0,74,195.1,16.58,8.8,2
no,23,88,265.0,22.53,14.9,2
no,28,107,195.5,16.62,6.8,3
no,27,141,201.3,17.11,7.1,3
no,0,117,134.5,11.43,8.2,3
yes,0,66,251.3,21.36,8.4,5
no,0,96,160.0,13.6,13.7,3
no,0,58,201.9,17.16,8.6,1
no,0,128,211.2,17.95,10.0,2
no,0,76,77.2,6.56,10.0,0
no,0,71,214.8,18.26,13.0,1
yes,0,108,259.9,22.09,10.7,3
no,0,92,220.9,18.78,13.3,3
no,0,102,166.8,14.18,9.4,3
no,0,49,141.5,12.03,6.2,3
no,0,68,179.3,15.24,10.2,1
no,30,71,182.4,15.5,11.0,2
no,0,97,154.9,13.17,12.4,0
no,0,105,224.9,19.12,14.6,0
no,0,36,276.5,23.5,5.7,4
no,0,114,208.7,17.74,14.4,2
no,0,105,262.0,22.27,8.5,1
yes,0,109,129.4,11.0,10.5,0
no,0,74,169.7,14.42,9.0,2
no,0,143,247.0,21.0,9.6,0
no,0,99,176.7,15.02,14.7,4
no,0,78,204.2,17.36,5.9,1
no,0,105,121.5,10.33,16.0,1
yes,27,124,146.6,12.46,6.4,4
yes,0,88,196.0,16.66,12.0,1
no,0,80,165.0,14.03,10.7,0
yes,0,83,218.4,18.56,11.0,1
no,0,86,237.6,20.2,5.3,1
no,0,77,302.0,25.67,15.6,0
no,0,114,206.9,17.59,11.3,1
no,0,114,168.5,14.32,10.3,1
no,0,117,273.0,23.21,10.9,0
no,0,86,162.8,13.84,9.3,1
no,0,133,278.6,23.68,11.5,0
yes,0,107,249.4,21.2,9.0,2
yes,0,74,239.8,20.38,13.4,1
no,0,116,188.2,16.0,12.3,3
no,0,93,330.6,28.1,13.5,1
no,26,94,196.4,16.69,12.9,3
no,0,95,212.6,18.07,7.9,3
no,0,92,172.8,14.69,9.3,2
no,31,92,233.8,19.87,10.4,0
no,45,140,153.3,13.03,12.8,2
no,0,78,124.0,10.54,7.7,2
no,0,126,200.0,17.0,10.8,1
no,29,80,118.9,10.11,11.2,1
no,0,112,209.7,17.82,9.4,3
no,41,74,169.5,14.41,6.2,2
no,0,140,146.3,12.44,7.1,3
no,0,120,153.1,13.01,11.0,0
yes,0,90,286.3,24.34,9.9,2
no,0,138,212.4,18.05,12.4,2
no,19,88,235.2,19.99,10.1,0
no,28,98,209.9,17.84,11.4,0
no,0,107,271.7,23.09,7.4,0
no,0,85,177.6,15.1,14.4,3
no,0,83,47.3,4.02,11.4,0
no,0,62,180.8,15.37,12.7,1
no,24,157,168.7,14.34,9.7,2
no,0,94,149.7,12.72,10.2,0
no,36,103,177.0,15.05,16.4,1
no,0,106,236.7,20.12,11.3,3
yes,0,73,179.8,15.28,6.4,1
no,31,84,161.5,13.73,9.4,1
no,0,101,255.9,21.75,12.5,2
no,44,127,180.2,15.32,8.7,3
no,0,76,232.4,19.75,13.6,1
no,26,88,155.7,13.23,11.5,2
yes,35,95,140.7,11.96,5.4,5
no,21,128,231.7,19.69,10.6,2
no,0,98,196.1,16.67,8.0,2
no,0,109,154.6,13.14,10.1,2
no,0,92,223.5,19.0,10.2,2
no,0,115,130.4,11.08,11.2,3
no,37,102,102.2,8.69,11.1,0
no,0,105,197.3,16.77,9.2,1
no,27,88,225.4,19.16,13.0,3
no,0,110,170.6,14.5,7.6,2
no,0,86,195.2,16.59,12.7,2
yes,0,99,149.1,12.67,14.8,4
yes,0,68,171.9,14.61,17.9,3
no,0,94,168.4,14.31,10.2,0
no,38,96,75.5,6.42,7.5,1
no,0,107,181.9,15.46,11.7,1
no,35,123,199.2,16.93,8.9,2
yes,0,91,230.0,19.55,10.6,1
no,24,99,193.5,16.45,10.8,3
no,0,92,211.7,17.99,9.8,0
yes,0,100,260.6,22.15,13.3,2
no,26,80,232.6,19.77,12.0,1
yes,0,75,188.6,16.03,9.5,5
no,0,120,174.4,14.82,11.2,1
no,0,108,198.6,16.88,9.3,2
no,0,68,158.0,13.43,12.7,1
no,0,95,117.0,9.95,6.7,3
no,0,85,187.9,15.97,7.8,1
no,0,146,226.7,19.27,7.3,1
no,0,61,218.8,18.6,8.2,7
no,0,95,157.6,13.4,8.1,1
no,24,76,176.6,15.01,8.8,2
no,0,108,251.3,21.36,10.3,1
no,0,110,241.4,20.52,10.8,0
no,0,105,257.5,21.89,9.4,1
no,40,105,88.6,7.53,10.8,1
no,0,92,177.8,15.11,12.1,1
no,0,108,176.2,14.98,4.3,1
no,0,107,228.8,19.45,7.6,3
no,0,100,211.2,17.95,10.2,1
no,0,110,212.9,18.1,11.8,0
no,0,91,157.7,13.4,13.2,2
no,0,118,260.2,22.12,9.2,3
no,0,95,234.8,19.96,11.7,3
no,24,103,285.9,24.3,9.5,0
no,0,105,139.7,11.87,11.5,2
no,0,135,318.7,27.09,11.5,3
no,0,130,248.1,21.09,12.2,0
no,0,100,148.8,12.65,6.7,0
no,0,130,213.2,18.12,10.1,0
yes,0,112,258.0,21.93,10.2,3
no,0,109,218.7,18.59,11.6,2
yes,0,89,264.4,22.47,13.2,0
yes,0,99,167.1,14.2,4.5,0
no,0,133,199.4,16.95,10.1,0
yes,0,94,227.0,19.3,4.7,1
yes,0,120,233.7,19.86,7.3,2
no,0,95,108.1,9.19,13.2,1
no,0,97,275.5,23.42,8.0,2
no,0,77,240.5,20.44,10.1,1
no,0,151,209.3,17.79,11.1,2
no,0,89,215.4,18.31,11.3,2
no,28,96,285.8,24.29,9.4,4
no,0,58,229.4,19.5,13.2,1
no,0,105,231.4,19.67,7.8,2
no,0,109,163.0,13.86,9.7,2
no,0,117,220.1,18.71,8.5,2
no,0,113,119.6,10.17,11.7,1
no,30,74,213.8,18.17,6.6,0
no,0,94,176.4,14.99,11.1,3
no,0,106,169.0,14.37,11.8,0
no,0,113,271.8,23.1,8.7,1
yes,28,97,166.9,14.19,8.8,5
yes,0,99,214.8,18.26,11.4,4
yes,0,132,243.2,20.67,11.0,0
no,0,59,283.3,24.08,5.8,2
no,37,110,221.9,18.86,7.3,2
no,31,115,237.6,20.2,7.7,3
no,0,88,283.4,24.09,8.6,0
no,33,75,226.6,19.26,12.9,2
no,0,100,174.7,14.85,13.3,1
no,0,118,185.2,15.74,8.1,3
no,24,86,168.7,14.34,14.6,1
yes,0,81,203.4,17.29,11.8,1
no,0,116,157.6,13.4,7.5,1
no,0,124,170.4,14.48,9.4,3
no,0,80,123.2,10.47,9.6,2
no,26,80,253.0,21.51,10.3,2
no,0,148,223.8,19.02,15.4,3
no,17,68,153.9,13.08,10.6,1
no,0,117,227.8,19.36,9.3,0
no,22,92,139.6,11.87,8.6,2
no,0,100,135.9,11.55,3.8,3
no,49,86,198.2,16.85,8.2,0
no,31,87,147.7,12.55,10.1,3
no,0,98,247.2,21.01,11.7,3
no,0,134,164.2,13.96,6.1,1
no,0,57,211.1,17.94,6.8,1
yes,0,97,204.3,17.37,11.3,1
no,0,78,202.6,17.22,11.3,2
no,0,115,180.4,15.33,8.0,3
no,35,119,258.1,21.94,11.7,1
no,0,70,252.2,21.44,7.5,0
no,33,112,225.3,19.15,8.6,1
no,0,107,176.2,14.98,7.9,0
no,0,90,164.0,13.94,9.5,3
no,0,133,235.1,19.98,16.9,0
no,21,103,257.7,21.9,7.2,1
no,17,94,240.0,20.4,5.8,1
no,0,110,181.2,15.4,8.9,0
no,0,113,169.0,14.37,9.2,1
no,0,95,141.8,12.05,6.6,2
no,0,85,119.2,10.13,8.7,1
no,0,107,318.7,27.09,11.1,1
no,0,114,141.5,12.03,10.5,4
no,0,62,235.2,19.99,15.6,2
no,0,74,179.9,15.29,10.9,1
no,0,117,177.0,15.05,9.7,3
no,0,102,178.9,15.21,9.4,1
yes,0,96,190.0,16.15,10.9,5
no,0,90,181.6,15.44,12.3,0
no,0,107,319.0,27.12,7.3,2
no,0,92,208.7,17.74,11.4,1
no,0,94,248.6,21.13,10.6,0
no,23,129,247.0,21.0,13.7,0
no,0,89,237.7,20.2,11.2,1
no,0,116,164.3,13.97,7.6,0
no,22,107,168.7,14.34,9.5,3
no,0,95,205.1,17.43,14.7,2
no,0,115,179.6,15.27,10.1,3
no,20,126,250.1,21.26,10.6,4
no,29,104,225.9,19.2,8.6,0
no,24,135,217.2,18.46,11.0,1
yes,0,120,231.8,19.7,9.9,1
no,38,104,136.0,11.56,4.3,0
no,0,80,187.0,15.9,16.6,2
no,0,84,163.6,13.91,11.8,1
no,0,80,236.2,20.08,11.8,2
no,34,70,273.7,23.26,7.6,1
no,27,126,152.9,13.0,12.8,1
no,0,101,212.3,18.05,9.3,2
no,17,95,252.8,21.49,9.7,0
no,0,84,173.3,14.73,8.3,3
no,0,151,189.6,16.12,12.7,0
no,16,91,232.0,19.72,14.7,1
no,27,68,252.8,21.49,7.8,1
no,0,92,191.7,16.29,12.4,2
yes,0,44,167.5,14.24,8.7,1
no,0,67,208.0,17.68,12.8,2
no,37,67,159.4,13.55,13.3,0
no,0,113,193.2,16.42,11.2,0
no,47,117,204.0,17.34,6.3,2
no,23,63,168.0,14.28,8.7,1
no,0,140,294.6,25.04,12.0,2
no,0,78,165.2,14.04,8.7,2
no,0,80,213.6,18.16,11.9,4
no,0,95,270.2,22.97,10.7,1
no,0,66,195.8,16.64,11.2,1
yes,0,95,209.6,17.82,13.9,0
no,0,105,119.3,10.14,11.5,4
no,0,108,143.1,12.16,11.0,6
no,0,67,153.0,13.01,10.2,2
yes,0,116,269.7,22.92,9.5,1
no,0,140,201.0,17.09,11.3,1
yes,0,106,273.7,23.26,8.7,0
no,50,94,178.0,15.13,12.1,2
no,23,106,199.8,16.98,10.1,4
no,0,83,280.8,23.87,10.5,5
no,0,96,193.7,16.46,7.7,2
no,0,95,139.1,11.82,11.7,2
no,0,108,204.4,17.37,10.7,3
no,0,95,198.7,16.89,10.0,1
no,0,121,292.5,24.86,8.0,2
yes,0,96,276.9,23.54,10.6,0
no,32,94,199.9,16.99,16.6,0
no,0,137,144.7,12.3,8.6,2
no,0,112,226.3,19.24,11.1,1
no,38,88,225.9,19.2,8.2,0
no,32,80,185.5,15.77,8.2,3
no,0,128,278.3,23.66,13.2,2
no,0,107,252.6,21.47,9.1,3
no,0,95,175.9,14.95,7.5,1
no,0,119,239.7,20.37,12.6,2
no,0,77,220.9,18.78,9.2,4
yes,29,90,263.5,22.4,9.0,6
no,0,66,257.2,21.86,13.4,0
yes,0,99,160.0,13.6,5.0,1
no,31,54,246.3,20.94,5.9,0
no,23,125,214.5,18.23,9.5,4
yes,0,85,194.1,16.5,9.4,5
no,0,98,197.2,16.76,8.1,1
no,0,105,286.1,24.32,4.9,1
no,0,105,211.7,17.99,11.6,1
no,0,88,190.4,16.18,16.1,0
no,0,106,178.6,15.18,7.4,1
yes,0,82,260.3,22.13,10.5,3
no,0,59,199.1,16.92,6.5,2
no,0,85,329.3,27.99,9.4,4
no,31,92,238.3,20.26,10.7,4
no,0,147,161.8,13.75,9.3,0
no,21,88,209.6,17.82,10.0,2
no,34,143,185.3,15.75,10.9,0
no,0,87,183.6,15.61,13.5,0
no,25,102,233.8,19.87,13.5,3
yes,30,129,75.3,6.4,5.8,3
no,0,126,303.3,25.78,9.7,1
no,0,89,149.3,12.69,11.0,0
no,0,65,242.7,20.63,11.3,0
no,0,122,235.6,20.03,12.7,1
yes,44,80,209.4,17.8,14.1,2
no,31,124,188.9,16.06,8.9,0
no,0,105,184.5,15.68,11.8,2
no,0,110,241.5,20.53,12.0,0
no,0,71,262.3,22.3,13.9,0
no,40,111,117.0,9.95,8.1,2
no,0,96,224.9,19.12,15.7,2
no,0,76,153.2,13.02,12.8,3
no,0,100,213.7,18.16,11.5,1
yes,30,123,126.4,10.74,9.0,5
no,0,83,181.6,15.44,8.3,3
no,20,110,215.1,18.28,9.4,0
no,41,95,241.8,20.55,9.6,1
no,0,65,141.4,12.02,10.0,2
no,0,93,282.8,24.04,12.0,2
no,0,92,215.0,18.28,11.3,1
no,0,102,160.7,13.66,12.5,0
yes,31,67,147.1,12.5,12.3,6
no,0,125,180.2,15.32,12.2,3
no,0,94,152.8,12.99,11.1,1
no,24,81,234.9,19.97,9.0,1
no,0,104,174.5,14.83,7.3,3
no,0,83,148.3,12.61,12.5,3
no,0,60,173.8,14.77,10.9,1
no,0,110,132.9,11.3,12.1,0
no,0,100,210.4,17.88,12.4,3
no,30,89,172.1,14.63,12.1,1
no,0,79,182.0,15.47,7.4,1
no,0,122,220.6,18.75,9.6,1
no,0,133,160.2,13.62,8.4,4
no,0,65,185.0,15.73,6.0,2
no,36,68,246.1,20.92,8.7,1
no,24,103,280.5,23.84,10.4,2
no,0,111,166.9,14.19,9.7,1
no,0,72,197.7,16.8,11.9,2
no,18,104,196.1,16.67,7.2,1
no,0,69,169.5,14.41,10.9,0
no,0,89,170.5,14.49,13.5,3
no,14,99,169.9,14.44,11.6,1
no,0,108,171.8,14.6,5.3,1
no,27,87,142.0,12.07,9.4,1
no,16,56,246.6,20.96,12.1,0
no,0,70,143.0,12.16,11.2,1
yes,0,108,308.7,26.24,13.7,2
no,15,79,173.5,14.75,14.6,1
no,25,110,209.3,17.79,6.7,1
yes,0,114,107.9,9.17,11.0,6
yes,0,94,224.0,19.04,12.1,5
no,0,90,234.1,19.9,6.0,5
yes,0,96,220.4,18.73,9.2,4
yes,0,77,218.6,18.58,13.2,2
no,0,125,173.2,14.72,10.9,0
no,0,52,242.0,20.57,11.7,0
no,18,106,114.5,9.73,6.5,0
no,0,97,203.7,17.31,8.7,3
no,0,117,223.5,19.0,9.0,1
no,0,130,144.4,12.27,14.2,2
no,42,105,167.3,14.22,10.4,0
no,26,107,177.3,15.07,14.5,2
no,0,107,82.0,6.97,6.6,0
no,0,51,240.1,20.41,12.2,1
no,30,103,220.9,18.78,8.2,0
no,0,85,243.2,20.67,9.9,1
no,0,77,124.0,10.54,10.0,0
no,0,64,216.2,18.38,10.9,1
no,0,132,164.4,13.97,0.0,1
no,0,52,246.7,20.97,7.0,2
no,0,98,193.3,16.43,15.0,1
no,38,88,163.7,13.91,7.4,0
no,0,102,217.6,18.5,13.2,4
no,0,104,202.3,17.2,9.5,2
no,0,103,241.0,20.49,11.9,0
no,0,128,250.1,21.26,10.8,3
no,0,147,173.4,14.74,5.5,2
no,8,104,171.5,14.58,9.7,1
no,19,96,241.3,20.51,7.8,0
no,23,65,255.7,21.73,7.3,3
no,28,88,113.3,9.63,16.1,0
no,0,91,261.5,22.23,11.4,0
no,0,118,249.6,21.22,11.1,3
no,0,74,181.8,15.45,10.4,4
no,0,95,228.9,19.46,13.2,1
no,0,109,254.6,21.64,8.5,0
no,22,107,238.0,20.23,10.4,1
no,0,81,145.9,12.4,9.8,2
no,0,102,216.3,18.39,12.4,1
no,0,121,345.1,29.33,8.3,0
yes,0,122,223.2,18.97,13.9,2
no,26,150,118.0,10.03,15.2,2
no,0,101,170.2,14.47,5.7,0
no,0,69,129.2,10.98,12.9,0
no,0,67,189.1,16.07,17.2,1
yes,0,96,251.1,21.34,8.3,2
no,0,110,202.1,17.18,14.4,2
yes,0,105,202.6,17.22,11.5,3
no,0,80,90.2,7.67,10.6,0
no,19,57,245.3,20.85,10.3,1
yes,0,97,224.8,19.11,13.6,1
no,0,96,264.1,22.45,9.1,4
no,0,92,164.3,13.97,8.9,1
no,0,127,262.3,22.3,11.5,4
no,0,104,199.0,16.92,12.3,1
no,30,105,283.2,24.07,14.7,1
no,0,100,317.2,26.96,8.3,1
no,0,87,127.9,10.87,9.2,0
no,0,133,215.3,18.3,9.1,0
no,0,121,290.3,24.68,10.8,0
no,27,101,143.8,12.22,12.3,1
no,0,113,242.2,20.59,8.9,2
no,0,103,209.6,17.82,11.8,1
yes,0,100,210.2,17.87,7.8,4
no,0,110,129.1,10.97,9.7,0
yes,28,147,190.7,16.21,9.2,4
no,0,106,191.1,16.24,9.4,3
no,0,93,170.5,14.49,11.8,3
no,0,94,178.4,15.16,7.5,1
no,0,58,208.7,17.74,11.9,0
no,0,123,162.8,13.84,10.1,1
no,0,117,191.9,16.31,10.3,0
no,0,90,240.1,20.41,10.8,3
no,0,106,99.5,8.46,13.4,1
no,37,89,228.7,19.44,19.7,1
no,0,78,188.0,15.98,11.2,2
yes,0,121,271.2,23.05,17.2,0
no,34,111,229.7,19.52,11.8,3
no,32,76,138.3,11.76,6.8,3
yes,28,100,246.5,20.95,12.9,2
yes,0,141,215.7,18.33,8.0,1
no,0,95,193.0,16.41,6.5,3
no,0,83,199.6,16.97,6.5,0
no,0,85,58.9,5.01,7.4,1
no,0,127,164.1,13.95,9.0,0
no,0,121,169.9,14.44,8.2,0
no,0,86,107.6,9.15,7.5,1
no,0,80,214.7,18.25,10.2,2
yes,0,113,167.8,14.26,13.6,3
no,0,75,244.4,20.77,11.4,2
no,0,97,164.5,13.98,10.6,2
yes,0,60,179.5,15.26,6.2,4
no,46,62,200.9,17.08,9.2,0
no,0,117,204.5,17.38,8.7,2
