churn,number_vmail_messages,total_day_calls,total_eve_minutes,total_eve_charge,total_intl_minutes,number_customer_service_calls
no,0,108,213.0,18.11,5.4,1
no,0,107,94.4,8.02,10.1,1
no,0,139,269.8,22.93,8.9,1
no,0,92,195.7,16.63,13.1,0
yes,0,114,209.9,17.84,13.7,5
yes,0,106,182.9,15.55,12.9,3
no,0,117,175.4,14.91,13.4,0
yes,0,71,203.2,17.27,10.0,3
no,0,114,274.5,23.33,9.2,3
no,0,75,122.9,10.45,9.2,0
no,40,110,161.2,13.7,11.5,0
no,0,53,187.5,15.94,9.8,1
no,0,120,139.6,11.87,11.6,0
no,0,105,206.2,17.53,8.9,0
yes,0,120,227.4,19.33,15.8,0
yes,0,88,306.2,26.03,7.8,1
yes,0,107,251.6,21.39,11.3,2
no,0,70,211.5,17.98,11.3,1
yes,0,74,327.1,27.8,10.9,3
no,29,113,275.4,23.41,10.0,0
yes,0,105,155.0,13.18,8.0,4
no,30,93,241.4,20.52,12.9,2
yes,0,151,148.0,12.58,15.8,6
no,0,88,276.1,23.47,9.3,1
no,0,115,245.0,20.83,8.1,2
no,38,158,133.9,11.38,13.3,1
yes,0,69,208.2,17.7,14.4,0
no,0,119,230.5,19.59,12.3,1
no,0,112,226.8,19.28,15.1,1
no,0,92,138.3,11.76,5.8,1
yes,0,100,232.5,19.76,9.0,0
no,0,108,162.4,13.8,13.4,3
no,0,88,180.5,15.34,9.3,2
no,0,82,242.4,20.6,10.3,2
no,0,103,177.4,15.08,12.0,1
no,26,71,145.9,12.4,9.9,1
no,0,119,249.4,21.2,9.0,1
no,0,107,204.7,17.4,15.0,3
no,12,60,200.6,17.05,12.3,2
no,0,121,208.1,17.69,7.1,1
no,0,104,78.3,6.66,0.0,2
no,0,132,149.1,12.67,7.0,2
no,0,91,177.1,15.05,5.9,2
no,34,95,216.9,18.44,7.5,0
no,0,109,205.2,17.44,11.7,1
yes,0,91,217.2,18.46,13.9,0
no,0,124,146.9,12.49,9.9,1
no,0,47,195.5,16.62,11.7,1
no,28,123,285.2,24.24,6.9,1
no,0,130,234.6,19.94,12.9,2
no,0,84,152.6,12.97,3.7,3
no,0,108,146.7,12.47,9.5,2
no,0,80,199.7,16.97,13.7,0
no,34,119,142.1,12.08,12.5,4
no,0,101,134.9,11.47,10.3,3
no,0,88,204.0,17.34,6.6,1
no,0,128,205.5,17.47,13.8,0
no,0,75,201.2,17.1,9.6,1
no,0,105,250.9,21.33,12.2,1
no,22,104,203.1,17.26,7.4,0
yes,0,107,208.4,17.71,8.8,7
no,0,107,215.6,18.33,10.2,0
yes,0,67,261.1,22.19,13.4,2
yes,0,78,302.3,25.7,8.5,0
no,0,95,179.9,15.29,11.5,0
no,0,77,156.3,13.29,7.3,1
no,29,107,118.7,10.09,6.6,1
no,13,61,181.2,15.4,10.3,0
no,0,90,159.5,13.56,13.0,1
no,0,127,155.2,13.19,8.6,2
no,0,89,187.5,15.94,4.3,0
no,38,90,140.4,11.93,10.5,0
no,0,108,188.4,16.01,11.7,2
no,33,108,245.7,20.88,8.8,1
no,0,142,246.5,20.95,8.8,1
no,31,87,183.4,15.59,14.3,1
no,0,100,168.9,14.36,3.4,1
no,25,77,290.0,24.65,11.6,1
no,0,103,279.6,23.77,13.5,0
no,31,94,147.6,12.55,12.9,1
no,30,84,263.5,22.4,9.8,2
no,0,102,123.9,10.53,13.1,2
no,26,137,236.8,20.13,9.0,1
no,31,90,243.0,20.66,12.2,3
no,0,95,201.4,17.12,8.6,1
no,0,74,183.1,15.56,14.4,0
no,22,114,146.0,12.41,8.8,1
no,22,142,229.3,19.49,11.3,1
no,0,90,230.1,19.56,9.1,3
no,18,111,150.8,12.82,10.5,2
no,0,80,230.2,19.57,9.4,3
no,12,56,241.6,20.54,13.2,3
yes,0,141,267.8,22.76,8.8,1
no,0,82,185.1,15.73,10.9,2
no,31,130,134.2,11.41,9.4,0
no,0,130,137.8,11.71,7.3,3
no,16,92,232.1,19.73,8.9,1
no,0,88,175.2,14.89,0.0,0
yes,0,42,138.9,11.81,9.1,2
yes,0,92,349.4,29.7,7.3,2
no,0,122,212.2,18.04,8.3,1
no,0,115,243.1,20.66,8.6,0
no,0,116,295.3,25.1,6.6,2
yes,0,136,270.8,23.02,13.9,1
no,0,99,267.6,22.75,7.1,1
no,0,79,182.6,15.52,4.2,1
yes,0,101,202.0,17.17,8.8,1
no,0,92,204.5,17.38,11.4,1
no,24,60,233.2,19.82,9.4,1
no,26,91,254.5,21.63,15.1,0
yes,0,89,186.7,15.87,9.4,0
no,26,82,226.7,19.27,7.6,1
no,0,102,206.9,17.59,6.1,0
yes,0,114,219.9,18.69,9.4,1
no,33,115,201.4,17.12,10.4,3
no,0,100,174.2,14.81,14.1,1
no,0,107,187.2,15.91,11.8,2
no,0,82,169.6,14.42,11.7,0
no,0,82,193.3,16.43,11.2,1
no,0,112,180.0,15.3,11.7,2
no,20,91,128.8,10.95,12.7,1
no,0,86,230.9,19.63,5.8,3
no,0,99,205.4,17.46,18.9,0
no,0,125,210.6,17.9,9.4,4
no,0,102,262.1,22.28,11.7,2
no,30,96,149.6,12.72,9.7,3
no,8,119,285.2,24.24,8.7,2
no,0,120,123.5,10.5,11.9,1
no,0,99,190.5,16.19,9.3,0
no,0,99,249.2,21.18,12.5,1
no,0,132,129.3,10.99,5.2,1
no,0,91,268.6,22.83,10.9,6
no,0,105,224.9,19.12,12.1,0
no,0,90,151.5,12.88,7.5,1
no,0,112,184.2,15.66,12.6,2
no,0,79,186.9,15.89,12.1,0
yes,0,108,259.7,22.07,9.7,2
no,10,79,91.0,7.74,10.0,2
no,0,81,158.4,13.46,11.0,2
no,41,127,152.0,12.92,8.1,3
no,0,108,171.0,14.54,8.6,2
yes,0,119,226.1,19.22,16.4,3
no,0,113,226.7,19.27,15.6,0
no,0,82,200.8,17.07,14.4,0
no,0,106,182.0,15.47,12.6,2
no,0,123,242.8,20.64,10.3,4
no,0,83,193.8,16.47,11.7,3
no,37,104,144.8,12.31,11.1,3
no,0,96,244.9,20.82,7.7,1
no,0,119,198.8,16.9,12.4,1
no,0,94,225.9,19.2,12.5,2
no,0,101,209.7,17.82,11.4,1
no,28,94,168.0,14.28,7.8,1
no,0,130,192.7,16.38,9.1,1
yes,29,95,200.0,17.0,5.7,1
no,0,87,198.3,16.86,13.0,2
yes,0,96,171.7,14.59,13.9,1
no,35,76,184.1,15.65,14.6,1
no,19,108,93.6,7.96,14.9,2
no,0,81,170.9,14.53,10.3,1
no,0,84,164.9,14.02,8.2,2
no,0,107,207.5,17.64,8.1,2
yes,0,120,301.0,25.59,5.8,2
no,0,106,187.3,15.92,13.3,3
no,0,73,240.1,20.41,8.9,3
no,20,78,215.6,18.33,9.8,0
yes,0,124,180.5,15.34,9.5,2
no,0,123,144.4,12.27,5.7,1
no,0,123,253.6,21.56,6.4,1
yes,0,108,253.9,21.58,10.1,3
no,0,92,185.6,15.78,6.2,2
no,0,105,185.5,15.77,11.8,1
no,0,85,219.8,18.68,8.3,1
no,0,72,154.3,13.12,8.2,1
yes,0,108,232.9,19.8,14.1,0
no,0,100,259.8,22.08,9.1,2
no,0,94,229.1,19.47,13.6,1
no,0,98,155.2,13.19,15.0,1
no,0,92,162.6,13.82,8.7,1
no,0,105,171.3,14.56,8.3,0
no,0,133,277.0,23.55,13.6,4
no,0,115,258.6,21.98,12.6,2
no,28,89,158.4,13.46,8.0,2
no,0,112,266.9,22.69,9.8,2
no,27,106,248.9,21.16,11.9,1
no,27,118,209.4,17.8,7.0,2
no,0,114,256.6,21.81,0.0,2
no,37,107,233.9,19.88,9.2,0
yes,0,104,170.9,14.53,8.7,4
no,17,112,240.6,20.45,11.4,5
no,0,111,156.2,13.28,10.5,2
yes,26,144,218.1,18.54,9.3,1
no,0,122,173.7,14.76,10.3,0
no,23,112,162.5,13.81,7.6,3
no,0,114,276.0,23.46,11.4,1
no,29,106,219.7,18.67,11.1,2
no,0,111,287.4,24.43,9.1,1
no,0,88,197.0,16.75,8.6,3
no,20,95,118.6,10.08,12.5,2
yes,0,91,243.7,20.71,10.1,1
yes,0,129,202.6,17.22,12.5,1
no,0,92,214.9,18.27,13.7,0
no,0,85,216.6,18.41,11.5,0
no,0,116,104.8,8.91,8.2,1
yes,0,72,211.0,17.94,10.5,4
no,0,77,195.2,16.59,11.7,0
no,0,115,268.8,22.85,12.8,3
no,27,89,180.6,15.35,6.6,1
no,20,110,177.5,15.09,11.9,0
yes,38,84,214.9,18.27,8.0,1
yes,0,113,179.7,15.27,10.7,1
no,0,117,200.8,17.07,9.8,3
no,38,102,195.9,16.65,9.7,1
no,24,92,160.9,13.68,8.9,3
no,26,110,230.9,19.63,4.5,0
no,0,102,182.3,15.5,8.3,2
no,0,132,231.5,19.68,11.0,3
no,0,114,181.7,15.44,12.1,0
yes,0,80,88.1,7.49,8.8,4
no,0,79,163.5,13.9,10.1,1
no,0,82,179.1,15.22,5.0,3
no,21,108,335.0,28.48,16.5,1
yes,0,97,214.6,18.24,14.2,2
no,0,102,298.0,25.33,9.8,1
no,0,82,282.2,23.99,10.0,2
no,27,121,226.2,19.23,11.1,4
no,23,91,156.3,13.29,15.3,1
no,0,94,133.2,11.32,7.2,2
no,33,105,231.6,19.69,11.1,2
no,0,124,229.5,19.51,5.6,5
no,0,102,204.5,17.38,8.5,1
yes,0,121,303.4,25.79,12.4,0
no,0,118,242.0,20.57,12.1,1
no,0,114,104.5,8.88,9.0,2
yes,45,101,94.9,8.07,9.8,4
no,31,83,219.1,18.62,11.4,0
no,0,96,234.2,19.91,10.1,4
no,0,99,210.0,17.85,8.6,2
no,31,103,113.6,9.66,10.8,2
yes,25,90,257.0,21.85,12.9,4
no,0,97,257.7,21.9,11.0,2
no,24,102,170.1,14.46,14.0,1
yes,0,88,259.3,22.04,13.3,4
no,38,92,169.6,14.42,11.9,4
no,0,121,199.5,16.96,11.7,3
no,37,84,222.0,18.87,11.2,0
no,35,104,272.8,23.19,8.3,1
no,0,127,103.0,8.76,12.7,2
no,0,99,250.7,21.31,6.1,4
no,30,116,195.5,16.62,15.4,1
yes,0,110,231.1,19.64,10.6,1
no,0,102,167.1,14.2,9.7,3
no,0,103,179.2,15.23,6.3,1
no,0,98,273.2,23.22,11.4,2
no,0,83,181.1,15.39,8.6,3
no,17,94,79.5,6.76,8.7,1
no,32,101,209.4,17.8,12.2,0
no,0,82,148.2,12.6,13.3,1
no,28,62,233.9,19.88,7.7,2
no,37,102,173.6,14.76,8.2,0
no,0,131,114.7,9.75,6.5,3
no,28,92,187.8,15.96,12.6,3
no,0,128,284.8,24.21,14.9,1
no,32,116,133.9,11.38,8.0,1
yes,0,116,219.4,18.65,12.1,0
no,21,104,194.7,16.55,9.6,0
yes,0,103,189.5,16.11,7.4,2
no,0,113,236.2,20.08,3.7,0
no,0,99,146.2,12.43,8.9,3
no,0,94,209.0,17.77,8.3,2
no,22,114,174.5,14.83,10.2,1
no,0,88,235.8,20.04,9.5,2
yes,0,77,212.5,18.06,12.7,2
no,0,97,172.6,14.67,10.1,1
no,0,96,257.1,21.85,12.1,0
no,0,106,206.0,17.51,11.4,1
no,0,98,282.6,24.02,11.4,1
no,0,88,235.8,20.04,14.6,3
no,0,137,160.2,13.62,10.1,2
yes,0,120,230.7,19.61,7.8,4
no,23,94,164.6,13.99,12.7,3
no,0,124,280.3,23.83,10.4,1
yes,0,156,263.0,22.36,11.3,3
no,0,90,206.6,17.56,10.1,3
yes,0,131,167.0,14.2,11.4,2
no,0,45,141.9,12.06,8.5,0
no,0,76,216.7,18.42,13.9,1
no,0,139,260.3,22.13,7.8,1
no,34,85,144.0,12.24,7.0,1
no,0,68,207.1,17.6,14.8,0
no,0,109,127.5,10.84,14.5,3
no,31,70,152.0,12.92,12.0,1
no,0,100,215.4,18.31,4.9,2
no,27,109,224.7,19.1,13.2,1
no,20,105,195.0,16.58,11.6,1
no,30,117,249.5,21.21,7.4,0
no,0,97,221.1,18.79,12.4,2
yes,0,100,227.1,19.3,9.2,2
no,0,78,144.5,12.28,6.8,3
no,0,75,224.5,19.08,9.7,1
no,31,85,213.1,18.11,10.7,1
no,0,76,189.0,16.07,4.7,3
no,0,105,182.2,15.49,13.0,1
no,0,117,115.2,9.79,11.8,0
no,0,113,204.9,17.42,13.4,1
no,0,110,263.7,22.41,12.2,1
yes,0,82,278.5,23.67,11.8,0
no,0,115,196.5,16.7,11.7,1
yes,0,116,286.7,24.37,9.0,1
yes,0,115,258.0,21.93,10.2,1
no,0,120,202.4,17.2,15.3,1
no,0,110,53.2,4.52,10.5,0
no,0,79,259.2,22.03,6.2,0
yes,38,117,119.6,10.17,14.0,1
yes,0,114,223.0,18.96,11.3,3
no,0,86,216.8,18.43,11.8,2
yes,0,102,212.6,18.07,12.6,5
no,0,133,276.6,23.51,9.5,2
no,16,105,201.3,17.11,13.1,0
no,0,94,240.9,20.48,8.8,2
no,0,90,198.0,16.83,8.0,2
no,37,112,319.4,27.15,7.9,2
no,0,95,146.2,12.43,11.8,2
no,0,84,317.7,27.0,13.3,1
no,0,96,159.7,13.57,7.7,2
no,0,82,180.7,15.36,8.6,1
no,0,67,264.5,22.48,9.0,1
no,0,75,205.1,17.43,12.5,1
no,20,40,189.1,16.07,9.4,1
no,0,145,249.1,21.17,7.1,1
no,0,102,249.1,21.17,8.8,2
yes,0,112,221.6,18.84,11.6,4
no,0,124,266.6,22.66,8.0,2
no,0,102,273.1,23.21,9.0,3
yes,0,112,131.7,11.19,10.3,5
no,36,106,210.2,17.87,4.3,2
no,0,121,220.6,18.75,11.8,1
yes,0,105,158.2,13.45,13.8,3
no,0,136,240.3,20.43,12.0,0
no,0,56,215.7,18.33,10.6,4
no,0,106,174.7,14.85,6.0,4
no,0,110,213.3,18.13,13.0,0
no,0,115,158.8,13.5,9.3,4
no,0,71,168.3,14.31,6.6,2
no,0,100,193.9,16.48,2.0,1
no,33,140,213.3,18.13,16.0,0
no,0,108,142.3,12.1,12.5,0
no,0,119,192.8,16.39,10.2,1
no,0,86,193.3,16.43,10.4,0
no,0,100,115.7,9.83,12.8,2
yes,27,85,221.2,18.8,12.3,1
yes,0,116,235.3,20.0,5.0,4
no,0,108,136.8,11.63,7.7,2
no,0,119,216.9,18.44,5.8,3
no,0,92,219.4,18.65,12.3,2
no,38,61,253.0,21.51,10.7,2
no,40,90,233.9,19.88,7.1,0
no,0,89,246.0,20.91,9.1,2
no,33,130,186.4,15.84,7.7,1
no,38,84,288.2,24.5,14.8,2
no,0,108,132.2,11.24,10.6,3
no,0,73,165.9,14.1,11.5,3
no,0,147,186.7,15.87,9.2,0
no,23,95,258.3,21.96,7.8,0
no,34,97,224.2,19.06,11.3,1
no,24,98,230.2,19.57,10.0,2
yes,0,101,196.4,16.69,9.7,4
no,0,85,143.4,12.19,15.0,2
no,0,120,231.4,19.67,11.2,2
no,43,79,174.6,14.84,10.9,1
no,30,130,195.2,16.59,11.4,2
no,40,90,213.2,18.12,14.0,2
no,0,105,144.5,12.28,5.4,0
no,31,88,139.0,11.82,5.7,3
yes,0,129,336.0,28.56,9.6,1
no,22,97,289.9,24.64,4.8,3
no,0,97,220.3,18.73,10.9,0
no,0,138,159.6,13.57,8.6,2
no,0,112,202.9,17.25,8.9,1
no,35,104,123.4,10.49,10.9,2
no,0,96,103.0,8.76,13.1,1
no,0,88,223.0,18.96,13.0,4
no,0,107,183.0,15.56,10.9,0
no,19,96,332.3,28.25,7.5,1
no,0,84,157.3,13.37,13.3,0
no,0,110,118.2,10.05,7.9,1
no,0,84,161.9,13.76,6.1,1
no,32,117,115.0,9.78,9.4,2
yes,0,88,244.5,20.78,11.2,2
yes,26,115,166.6,14.16,14.4,1
no,0,88,253.0,21.51,10.7,1
no,32,75,206.9,17.59,12.1,1
no,0,103,209.0,17.77,10.2,2
no,0,110,274.3,23.32,11.0,1
no,0,116,197.5,16.79,8.4,2
yes,0,106,281.9,23.96,11.5,4
no,26,61,263.4,22.39,11.2,1
no,0,119,206.7,17.57,10.1,1
no,0,110,234.9,19.97,8.8,2
no,0,89,214.2,18.21,7.0,1
no,0,150,187.5,15.94,13.6,1
no,0,125,247.1,21.0,7.2,2
no,0,123,224.2,19.06,8.6,2
yes,0,105,174.1,14.8,11.7,5
no,0,78,251.7,21.39,13.9,0
no,0,121,164.1,13.95,11.7,2
no,0,78,195.3,16.6,3.6,1
no,0,81,200.0,17.0,15.8,1
no,0,71,285.1,24.23,6.2,2
no,0,91,239.6,20.37,11.5,2
no,0,120,225.3,19.15,11.1,0
no,0,92,275.0,23.38,10.8,1
no,0,101,191.0,16.24,11.1,0
yes,0,106,249.4,21.2,12.9,1
no,52,114,133.2,11.32,7.9,0
no,27,141,154.0,13.09,12.3,1
no,0,101,161.0,13.69,9.5,0
no,0,98,292.8,24.89,10.6,1
no,0,101,193.1,16.41,6.9,1
no,0,126,209.8,17.83,0.0,1
no,28,126,253.6,21.56,11.4,1
no,0,71,190.6,16.2,10.6,3
no,0,98,164.5,13.98,10.9,2
no,29,102,206.0,17.51,15.0,1
no,35,143,148.2,12.6,3.9,0
no,0,115,195.4,16.61,7.1,1
no,0,83,154.2,13.11,12.7,1
no,0,115,276.4,23.49,12.4,1
no,32,82,165.3,14.05,9.0,2
yes,0,91,207.2,17.61,12.9,1
no,0,112,238.7,20.29,9.2,3
no,0,109,228.4,19.41,9.6,3
no,26,68,115.0,9.78,9.4,5
no,0,105,192.8,16.39,7.6,4
no,0,103,206.9,17.59,5.6,0
yes,0,98,244.7,20.8,10.6,7
no,0,74,115.6,9.83,15.8,1
no,25,99,313.6,26.66,9.3,2
no,0,99,174.8,14.86,7.8,1
no,25,105,240.5,20.44,13.9,4
no,0,120,120.4,10.23,11.0,0
no,0,114,235.9,20.05,11.3,4
no,0,116,135.4,11.51,9.9,1
no,0,70,236.8,20.13,9.0,1
no,0,89,234.0,19.89,11.6,4
no,0,99,264.0,22.44,9.7,2
no,0,141,216.5,18.4,11.5,1
no,32,113,187.0,15.9,8.6,1
no,0,97,176.2,14.98,4.9,2
no,0,144,225.2,19.14,11.4,1
no,0,123,276.8,23.53,9.0,0
no,0,86,162.0,13.77,6.0,1
yes,0,61,207.4,17.63,17.5,1
no,10,54,292.4,24.85,11.5,0
yes,24,120,159.8,13.58,12.6,4
no,0,102,195.7,16.63,8.4,2
no,0,123,129.2,10.98,12.9,1
yes,0,109,286.2,24.33,7.5,3
no,0,83,189.9,16.14,9.0,5
no,0,103,193.4,16.44,13.4,0
no,0,70,239.3,20.34,12.3,1
no,0,101,170.7,14.51,11.6,3
no,0,74,148.5,12.62,11.3,1
no,34,100,236.3,20.09,14.8,2
no,0,143,211.7,17.99,9.9,1
no,0,106,204.9,17.42,9.8,2
no,37,87,178.5,15.17,8.0,4
no,39,104,163.1,13.86,10.8,1
no,0,104,117.9,10.02,14.0,0
no,0,104,181.4,15.42,9.7,0
no,0,95,239.3,20.34,10.0,2
no,0,103,246.8,20.98,9.7,1
no,0,87,166.4,14.14,15.4,1
no,39,75,244.8,20.81,13.2,2
yes,0,96,294.5,25.03,10.2,1
no,0,85,295.9,25.15,12.5,1
no,27,51,236.5,20.1,12.6,2
no,0,113,208.0,17.68,8.4,3
no,24,117,196.0,16.66,11.4,0
no,0,91,152.8,12.99,11.2,3
no,0,134,167.7,14.25,10.9,0
no,0,113,126.9,10.79,14.9,1
no,0,71,244.0,20.74,12.8,0
yes,0,95,274.3,23.32,8.2,2
no,0,79,161.8,13.75,11.7,3
no,0,122,141.6,12.04,7.5,2
no,0,119,238.5,20.27,10.9,2
no,0,80,239.8,20.38,8.5,0
no,0,88,233.2,19.82,6.2,3
no,0,80,176.6,15.01,15.5,1
no,26,117,234.7,19.95,10.8,1
no,0,103,254.3,21.62,10.5,2
yes,0,136,151.0,12.84,7.3,4
no,0,83,208.1,17.69,15.6,3
no,0,130,194.0,16.49,9.0,1
no,0,114,171.3,14.56,9.9,4
no,0,114,198.9,16.91,6.6,3
no,26,94,289.4,24.6,8.0,0
no,35,88,190.0,16.15,10.5,2
no,0,89,228.4,19.41,9.3,2
yes,0,83,187.1,15.9,7.9,7
no,0,90,344.0,29.24,5.5,0
